微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页
7211561239,OyKYF7KRo,央视频,2024-09-26 12:52:07,【#王冰冰首部微短剧开机#】由总台央视频、海发文化联合出品的微短剧“王冰冰三部曲”第一部#今人不见古时玥#近日开机。王冰冰@吃花椒的喵酱 @鲁照华 @_张祐维_ 、张晗等将倾情出演，开启一场奇幻之旅！探索西汉悠久历史，见证西汉璀璨文化！敬请期待！ 央视频的微博视频 ,39,60,277,中国,北京,北京,中央广播电视总台央视频官方账号。“央视频”是总台推出的综合性视听新媒体旗舰平台。,92,442.6万,f,https://m.weibo.cn/u/7211561239?
1799906660,OyMSbbf23,吻奶珊的喵酱,2024-09-26 17:41:38,王冰冰#王冰冰#  要陪在值得的人身边，一年又一年@吃花椒的喵酱 ,7,9,163,中国,浙江,温州,随心所欲,617,1.5万,f,https://m.weibo.cn/u/1799906660?
7766126000,OyDiFARhG,宜城亭侯皇叔刘,2024-09-25 17:19:26,马凡舒和王冰冰一起吧 ,36,10,345,中国,河南,驻马店,关注可看更多，希望大家喜欢,881,25.8万,f,https://m.weibo.cn/u/7766126000?
6512991534,OxPqxgqoX,吃花椒的喵酱,2024-09-20 10:21:28,作为一个手残党，看了无数视频总结出来超简单好上手的卷发教程#手残党学卷发教程# 吃花椒的喵酱的微博视频 ,2646,1675,14678,中国,湖南,N/A,,158,570.1万,f,https://m.weibo.cn/u/6512991534?
2719690694,OxrprdeYk,吃花蜜的喵酱,2024-09-17 21:12:50,王冰冰中秋快乐 冰冰前天小红📖笔记丨旅行穿搭 ② 有一些皮肤是以前没见过的[举花铃] ,31,84,396,中国,江苏,南京,,131,5.9万,m,https://m.weibo.cn/u/2719690694?
1731123310,Oy0hRwmmw,本间芽衣籽,2024-09-21 14:00:19,王冰冰瞎蒙问题自信回答，给撒贝宁都唬住了～ 本间芽衣籽的微博视频 ,47,30,1262,中国,天津,天津,爱女宝 只会对花花讲好听的话 如有侵权 联系删除 盗我水印投诉到底,214,17.2万,f,https://m.weibo.cn/u/1731123310?
7491881878,OybAfeB66,吃花椒的猫咪酱,2024-09-22 18:45:49,王冰冰 为啥这么美 ,3,13,97,中国,陕西,咸阳,我们的梦想是星辰大海祝我们中国航天 我的宝贝是@航天员刘洋@徐俐@咏梅我们永远@中南大学杨雨爱你宝贝们。,1519,666,f,https://m.weibo.cn/u/7491881878?
7891724237,OxpO3q2Mw,虎爸周星,2024-09-17 17:08:00,于适和王冰冰的性质不一样吧？ ,0,27,394,中国,广东,广州,管天管地别来管观众！本博主只是一个喜欢上网冲浪🏄的自由人，不接广告，喜欢多玩，不喜欢的别来；,283,19.1万,f,https://m.weibo.cn/u/7891724237?
5718597752,OwYcXp0aq,拥有彼此不孤单,2024-09-14 18:52:26,王冰冰 冰冰的日常单品 拥有彼此不孤单的微博视频 ,12,8,182,中国,广西,N/A,万事胜意,695,3838,f,https://m.weibo.cn/u/5718597752?
7375050367,OtMVfvF5m,综尚,2024-08-24 20:37:41,王冰冰真的好身材，性感魅力四射！！ ,22,195,380,中国,江西,N/A,V：a742477875,2067,25.8万,m,https://m.weibo.cn/u/7375050367?
1767076672,OtbFEs4Nr,叫我老伯,2024-08-20 21:47:37,王冰冰这素颜好真实 ,15,19,243,中国,广东,广州,关注我不定期铁粉抽奖,548,535万,m,https://m.weibo.cn/u/1767076672?
6356104116,Ovfc4DoUI,星赏一下,2024-09-03 10:26:21,王冰冰巴黎街拍，时尚女神范 ,17,3,238,中国,江苏,N/A,赏 心 悦 目,18,26.4万,f,https://m.weibo.cn/u/6356104116?
5992885249,OuLyPu4dx,追剧音乐时尚,2024-08-31 07:00:00,已过花甲之年的歌唱家莫华伦已经 65 岁了，依然青春活力，找了一个年轻貌美的 35 岁王冰冰共度余生，粉色确实很显身材了 ,3,36,96,中国,广东,揭阳,医美/母婴/,288,38.4万,f,https://m.weibo.cn/u/5992885249?
5755011426,Ouva9oRzA,影剧大叔,2024-08-29 13:15:15,王冰冰的颜值，真的很抗揍，本人和电视上一样好看，路人随拍都美美的  不得不说，央视记者王冰冰真的很好看，特别是她的笑容，真的太甜了，央视记者以这样的状态火出圈的，王冰冰是独有的一份。 ,3,48,132,中国,湖北,黄冈,知名电影博主，商务jinengsusu,149,26.8万,m,https://m.weibo.cn/u/5755011426?
6480272927,OvGxcCOAu,风尚浪尖,2024-09-06 08:02:34,这三位 曾黎是最有气质的，马苏凡五官最精致，王冰冰最自然清新 ,21,23,147,中国,北京,北京,合作➕V：wxzzy117,4462,29.5万,f,https://m.weibo.cn/u/6480272927?
7717107399,OyXZ2qAgx,用户7717107399,2024-09-27 21:58:45,王冰冰 山野朦胧的美感就是你了 ,0,0,0,中国,山西,N/A,,102,6,f,https://m.weibo.cn/u/7717107399?
7692658376,OyXep7LaF,爱吃蛋挞喔-,2024-09-27 20:03:51,查理苏   有个小狮子夏天带上了牛萌王冰冰凉凉的丝巾！#查理苏#  超顺滑质感特别好 和小查合影一下！ 两只特别乖打蝴蝶结的宝宝！ ,1,14,23,中国,海南,海口,银发紫瞳小鸟厨˶&gt;𖥦&lt;˶｜镇魂,379,166,f,https://m.weibo.cn/u/7692658376?
1799906660,OyWdkhrd9,吻奶珊的喵酱,2024-09-27 17:28:26,王冰冰#王冰冰#  日子分两种:想你和见你 ,0,3,30,中国,浙江,温州,随心所欲,617,1.5万,f,https://m.weibo.cn/u/1799906660?
7826157967,OyUKFlZWd,烟雨_200211,2024-09-27 13:45:06,喜大普奔！○( ＾皿＾)っHiahiahia…我在王冰冰超话等级达到LV.10，获得冰心一片头衔，快来 王冰冰夸我优秀！ ,0,0,0,中国,山东,青岛,,217,2,f,https://m.weibo.cn/u/7826157967?
6476860689,OyU7tyfe8,娱乐小活宝Iym,2024-09-27 12:08:33,王冰冰 这套好有少妇的感觉 ,0,0,8,中国,河南,郑州,分享美图 一切素材来源于网络 侵联删,3333,5.7万,m,https://m.weibo.cn/u/6476860689?
5042568808,OyTXilS2P,娶到冰冰开始人生,2024-09-27 11:43:28,王冰冰  好久不见冰 ,0,0,3,中国,广东,深圳,,74,7,m,https://m.weibo.cn/u/5042568808?
2207472983,OyTlz1OEe,吃栟糖的喵酱,2024-09-27 10:10:30,"王冰冰 “在绝境之中，总有人向着光明 冲破黑暗” &quot;𝑰𝒏 𝒂 𝒅𝒆𝒔𝒑𝒆𝒓𝒂𝒕𝒆 𝒔𝒊𝒕𝒖𝒂𝒕𝒊𝒐𝒏, 𝒕𝒉𝒆𝒓𝒆 𝒂𝒓𝒌𝒏𝒆𝒔𝒔 𝒕𝒐𝒘𝒂𝒓𝒅𝒔 𝒕𝒉𝒆 𝒍𝒊𝒈𝒉𝒕.&quot; ",0,2,2,中国,北京,北京,用自己的方式支持冰冰！,677,650,f,https://m.weibo.cn/u/2207472983?
6976182920,OySHP0SbK,_小張乏了,2024-09-27 08:32:36,“也是凉快上了”#王冰冰#王冰冰 ,1,11,15,中国,新疆,乌鲁木齐,喜欢冰冰！！！💖,110,89,m,https://m.weibo.cn/u/6976182920?
1799906660,OyDkiurno,吻奶珊的喵酱,2024-09-25 17:23:27,王冰冰#王冰冰#  如果你永远是我的，那我永远只对你好。 ,8,10,144,中国,浙江,温州,随心所欲,617,1.5万,f,https://m.weibo.cn/u/1799906660?
6335352872,OyS8PdYY3,娱乐兜兜风,2024-09-27 07:06:23,#撒贝宁 这是有“社交狂妄症“”吧  #王冰冰  #你好生活第3季#微博VC计划#  娱乐兜兜风的微博视频 ,0,1,0,中国,浙江,杭州,,74,16.5万,m,https://m.weibo.cn/u/6335352872?
