平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,flypig,在我的各种平板里，小米 Pad 6 Pro（一个发布一年多、闲鱼只要 1000 出头的平板）从重量、尺寸、屏幕比例来说，都是十分适合看漫画的设备。 ,12,63,250,https://m.weibo.cn/detail/OqaFWiDgQ,OqaFWiDgQ,2024-08-01 01:44:40
微博,金剪刀开箱,第一波高考完的学生已经冲进小米之家了 实力充裕的直接拿下 小米14 redmi book14 小米pad6pro 小米手环8pro 脱离了高中不能接触电子设备的苦海后，直接迅速感受到科技进步的震撼 ,2,17,106,https://m.weibo.cn/detail/Oibojk1Up,Oibojk1Up,2024-06-09 12:51:33
微博,白问视频,开学必看！学生党千元平板指南！「白问」 #千元平板推荐#9月开学季你购置新的电子装备了吗？本期我们针对学生党，做了一期高性价比的平板指南，如果你恰巧有买平板的打算，记得点赞收藏哟！感谢啦～#数码好物种草计划# 白问视频的微博视频 ,427,355,1434,https://m.weibo.cn/detail/OtLTfDyRf,OtLTfDyRf,2024-08-24 18:00:01
微博,怕不是小小白,早上看群里有朋友在聊PAD生态。 一个很让人难以置信的事实是：小米平板6S Pro（单指这一款，其他咋样不予置评）目前可能是所有Android平板里软件适配最好的一款。 你米有朝一日居然在平板软件适配上做得比其他家都好了。其他家很多只能走平行窗口的App，在小米平板上都可以原生横屏适配。 想不到吧.jpg ...全文,2,118,370,https://m.weibo.cn/detail/OijoWp3Ob,,2024-06-10 09:15:05
微博,要画技有笔刷,3594 【只是想问问】父母答应给我买平板，但是要从下面几款挑： 荣耀平板V7Pro    8+128 （11寸） oppo pad2        12+256 （11.6寸） 联想平板y700     12+256 （ 8.8寸） 华为MatePadPro     8+256（10.8寸） 小米pad5 pro       6+128（11寸） vivo pad2代         8+128（12寸） 小米平板6        ...全文,3,116,790,https://m.weibo.cn/detail/Ovzwmg9Nd,,2024-09-05 14:11:15
微博,缪特_,#小米澎湃OS#  用小米平板6＆6 Pro＆6 Max 14的小伙伴，如果用一句话来评价你的使用体验，你会说： ,1,192,441,https://m.weibo.cn/detail/Ou5vvem9D,,2024-08-26 19:56:26
微博,李多鱼同学,目前这几款主流平板，就性价比的话，感觉还是小米Pad6S Pro更香点。 ,12,43,64,https://m.weibo.cn/detail/OjGYMxoFU,,2024-06-19 11:06:52
微博,懒酱的日记本,Xiaomi Pad 6S Pro 已推送#小米澎湃OS# 正式版内测OS1.0.10.0.UNXCNXM，有设备的小伙伴可以去更新了。  主要更新内容：  系统 合入2024年7月安全补丁，增强系统安全  全域安全 新增 车载后排平板电量高于80%时，自动停止充电  上版本发布时间： 2024年7月30日  更新间隔： 14天  小米澎湃OS更新次数：  ...全文,0,34,93,https://m.weibo.cn/detail/Os4vh4VkU,,2024-08-13 13:42:31
微博,大学生不懂就发言,#如何过好大学生活# 4835【】小米pad6Pro怎么样啊，想用来做笔记看文档 ,0,4,3,https://m.weibo.cn/detail/OwciEfrVQ,OwciEfrVQ,2024-09-09 16:54:36
微博,为什么我想的名字都有人取,设备是小米pad6pro，为什么一进战斗就闪退呀 为什么我想的名字都有人取的微博视频 ,0,11,1,https://m.weibo.cn/detail/NCnTbCqxj,NCnTbCqxj,2024-01-18 10:42:22
微博,机智猫,【荣耀MagicPad13/小米Pad6Pro/OPPOPad2/vivoPad2，2500元级安卓平板横评】  每年到了暑期，大家选购平板的需求都很旺盛，这次我集齐了荣米OV 2500档的主打产品，对比测试影音、性能、外设、系统等多个方面，看看哪款更值得买？  #安卓平板##平板推荐# 机智猫的微博视频 ,0,9,50,https://m.weibo.cn/detail/NbmsJ7v3q,NbmsJ7v3q,2023-07-24 17:26:13
微博,涛哥爱拆机,小米Pad6Pro拆解，骁龙8下放到了平板里#小米pad6pro #小米Pad6 #小米平板6pro# 涛哥爱拆机的微博视频 ,0,4,30,https://m.weibo.cn/detail/MCOC3jkT5,,2023-04-20 08:00:01
微博,黑蚁Ant,小米#数码##小米##小米13#  Pad6Pro这次真的很惊艳，屏下指纹，全面屏， 参数上IP68认证，高像素多摄影像模组 Pad6：HRR TOP LCD面板 Pad6Pro：HRR OLED面板 ,0,34,39,https://m.weibo.cn/detail/MwOgOu5nZ,,2023-03-11 20:05:52
微博,南有杦木,逆水寒手游  小米pad6pro昨天傍晚开始到现在都进不去 我服了啊。为什么！为什么！为什么要闪退！ 一定要在电脑上登录了才能进去我也是无语…！！ 你干嘛！！！！！@逆水寒手游  别睡了！@逆水寒手游  起来上班！！！@逆水寒手游 ,0,6,0,https://m.weibo.cn/detail/OzbwJnLLJ,,2024-09-29 08:27:28
微博,小栋微博版,今天北京终于出了月亮，第一张是小米14pro拍的，第二张是小米11pro拍的，第三张是小米pad6pro拍的 #我最满意的摄影作品##摄影馆# (来自@小米社区) ,0,0,0,https://m.weibo.cn/detail/OxKQmaoOT,,2024-09-19 22:41:21
微博,萌妹战队的小rain吖,第五人格第五人格一直这样，然后过不久显示补丁下载失败，从早上搞到现在了，快被气死了，反复卸载好几次了，心态崩了想退游了，谁能救救我小米pad6Pro ,0,7,0,https://m.weibo.cn/detail/OvzG7q8xa,,2024-09-05 14:35:18
微博,提莫Veges,各位小米pad6Pro用户们，请问一下你们手中的pad有没有充电口一侧屏幕发暗发绿的情况呀。#小米pad##小米pad6# ,0,0,1,https://m.weibo.cn/detail/OtB0FAfnT,,2024-08-23 14:18:05
微博,MurphyLLLLL,恋与深空有用小米pad6pro玩的友友吗，我的卡退好严重 ,0,0,0,https://m.weibo.cn/detail/OplC8f6yr,,2024-07-26 15:45:12
微博,柚子啵啵气泡水,小米有没有人是小米pad6pro的板子配的gomi家的壳子，为什么我的自动唤醒功能失效了 ,0,0,1,https://m.weibo.cn/detail/OoJbG70Rq,,2024-07-22 13:55:39
微博,木苏里女友,逆水寒手游最近想买平板，在IQOO pad和小米pad6pro之间犹豫，有没有友友可以推荐一下（ps:不介意屏幕尺寸） ,0,4,7,https://m.weibo.cn/detail/OnYKJAyRu,,2024-07-17 15:42:54
微博,小小小卷毛熊,什么都是假的只有男朋友买的小米pad6pro是真的 ,0,0,0,https://m.weibo.cn/detail/OmULSDZPr,,2024-07-10 15:44:27
微博,黑科技解密,探索挑战，尝试亲手拼装一台个性化的散装小米pad6pro？ #数码乐趣#小米平板6Pro组装体验#科技DIY# #小米平板# 你不知道的科学的微博视频 ,0,0,0,https://m.weibo.cn/detail/OmoZM2Jbb,,2024-07-07 06:50:46
微博,冷冬赴,美美等小米pad6pro到我手上嘿嘿 ,0,0,0,https://m.weibo.cn/detail/OlJu7qVUb,,2024-07-02 21:10:10
微博,金剪刀开箱,第一波高考完的学生已经冲进小米之家了 实力充裕的直接拿下 小米14 redmi book14 小米pad6pro 小米手环8pro 脱离了高中不能接触电子设备的苦海后，直接迅速感受到科技进步的震撼 ,2,17,106,https://m.weibo.cn/detail/Oibojk1Up,,2024-06-09 12:51:33
微博,卡呢kiKen,平板  求推荐，OPPO pad2和小米  pad6pro还有最近新出的华为11.5S哪个性价比高一些，更推荐 ,0,12,3,https://m.weibo.cn/detail/OhCsq9h5i,,2024-06-05 19:55:31
微博,邻座的怪薯条,要不怎么说大家都买ipad呢。。。小米pad6pro你个水货，手贱更新系统打游戏切换横屏就闪退，反向优化是吧，这辈子再也不会买小米 ,0,0,0,https://m.weibo.cn/detail/OhfR9rNOx,,2024-06-03 10:23:18
微博,注视着永无止境的梦境的我们,集美我看我还是买小米pad6pro吧 原因有3 1因为我是米猴 2因为我是米猴 3因为我是米猴 ,0,0,0,https://m.weibo.cn/detail/OgmuG5sEu,,2024-05-28 13:26:51
微博,y王一博的小宝贝,什么都是假的  只有我宝宝给我买的小米pad6pro是真的 ,0,0,2,https://m.weibo.cn/detail/Og786uZoX,,2024-05-26 22:20:02
微博,游戏真难玩啊,逆水寒手游买了小米pad6pro来玩逆水寒，希望不要让我失望 ,0,2,5,https://m.weibo.cn/detail/ObRHVFJRq,,2024-04-28 23:43:08
微博,我是小布丁哦o,#notein一笔记#我用的是小米pad6pro+小米二代触控笔，第一次尝试用Notein之后下载了很多笔记软件（云记，享做app等），最后果断选择了Notein笔记，只留下了这一个。 Notein的界面设计非常简洁明了，没有广告！没有广告！没有广告！ 1. **笔属性调整**：允许用户根据个人喜好调整笔的属性，如钢笔模式， ...全文,0,0,2,https://m.weibo.cn/detail/OaqgPzPn2,,2024-04-19 12:01:54
微博,会玩手机的时光龙,兄弟的k60和女朋友的pad6Pro，今天一直疯狂重启，原因未知。  @雷军 @小米售后 @小米客服 @小米手机 @小米之家 @小米商城 ,0,2,1,https://m.weibo.cn/detail/Oa2kGoO5k,,2024-04-16 23:05:28
微博,shenlilnhua,小米pad6Pro，更新了澎湃系统之后也没有想象中的那么卡 ,0,3,3,https://m.weibo.cn/detail/O91Ngf8Zy,,2024-04-10 07:52:49
微博,c下下签c,想问一下小米pad6Pro和小米pad6SPro那个更具性价比小米 ,0,0,2,https://m.weibo.cn/detail/O70dCjJJ1,,2024-03-28 00:11:39
微博,昇昇手机连锁_徐晓晗,小米pad6pro#买手机找徐晓晗#小米 盘锦·昇昇手机广场 ,0,0,0,https://m.weibo.cn/detail/O6UWKs2OY,,2024-03-27 10:46:22
微博,第壹责任人,小米pad6pro收到了，速度相当迅捷。谢谢@且听Phone吟 感激涕零，不胜言表。 ,0,0,0,https://m.weibo.cn/detail/O4R2jAkY7,,2024-03-13 21:08:29
微博,pc1687丶,小米平板我pad6pro的ota功能呢？还是小米的日历有两个2月啊？ ,0,2,1,https://m.weibo.cn/detail/O3gXGwxdP,,2024-03-03 11:27:53
微博,随身uu,#云记#小米pad6pro 2.9.0.4版本闪退打不开了 ,0,5,4,https://m.weibo.cn/detail/O2SDddpow,,2024-02-29 21:31:30
微博,美味煲仔饭_,恋与深空有没有姐妹用小米pad6pro的你们平板下载的深空横屏打怪有闪退的情况吗我一进入就退出来根本打不了 ,0,6,1,https://m.weibo.cn/detail/O2PITkc41,,2024-02-29 14:07:16
微博,极品电蚊拍,小米我真服了，小米Pad6PRO关机后耗电是什么意思，晚上充满电第二天打开就亏电了，我人都傻了。家人们知道是什么原因吗😭 ,0,0,0,https://m.weibo.cn/detail/O2AUI2gEl,,2024-02-28 00:25:11
微博,我们会都好,当时平板明明买的小米pad6pro啊，怎么突然一看是小米pad6呢当时还买了个笔，我说怎么好像便宜个300，当时开学季，他说我有券，我以为搞活动呢，结果就不是一款。 ,0,5,5,https://m.weibo.cn/detail/O1OXjAYWk,,2024-02-22 22:19:46
微博,南有杦木,逆水寒手游 麻烦问一下大家。就这个大宋任我行的活动，为什么游戏中会蓝屏啊？ 是我设备的问题吗？是小米pad6Pro。 ,0,3,0,https://m.weibo.cn/detail/O1LoyzrUa,,2024-02-22 13:15:53
微博,虚构天才,恋与深空小米pad6pro开极致画质这样正常吗，我真服了……马上就成米黑了 ,0,6,1,https://m.weibo.cn/detail/NFU4D58Ed,,2024-02-10 14:09:22
微博,Ruiz_F,小米澎湃OS#小米澎湃OS#  小米Pad6Pro正式版内测 更新OS1.0.4.0.UMYCNXM 更新pc框架，支持运行WPS Office PC ,1,1,2,https://m.weibo.cn/detail/NDLPS3AFP,,2024-01-27 13:30:25
微博,西厅鹿鸣,小米新平板通过3C认证，型号24018RPACC。最高支持120W有线充电， 附赠MDY-12-ED充电器。 小米Pad6pro 12.4？ ,0,1,0,https://m.weibo.cn/detail/NCOAGfXoe,,2024-01-21 06:40:56
微博,初雪见逸,恋与深空最近想买个平板大屏享受，所以问问大家哪个平板能带动这个游戏啊？小米pad6pro可以不？ ,0,13,0,https://m.weibo.cn/detail/NCKmVwIDH,,2024-01-20 19:56:04
微博,为什么我想的名字都有人取,设备是小米pad6pro，为什么一进战斗就闪退呀 为什么我想的名字都有人取的微博视频 ,0,11,1,https://m.weibo.cn/detail/NCnTbCqxj,,2024-01-18 10:42:22
微博,小杨-同学k,我小米pad6Pro多久更新PC级WPS#小米手机# 小米平板 ,0,1,0,https://m.weibo.cn/detail/NCdyyuius,,2024-01-17 08:24:04
微博,chanana_vencheal,有没有大学生啊！想买平板 不打游戏 看剧和学习！ 然后可能后期要考研 手机是小米14 在华为matepad11 2023版和小米pad6Pro之间纠结有人说华为的鸿蒙系统更流畅，然后学习更方便。有人推荐买和手机一样的牌子小米 谁来救救我啊小米华为 ,0,9,3,https://m.weibo.cn/detail/NBX98EeDf,,2024-01-15 14:37:30
微博,男神真衰,小米平板你们说我是买小米pad6Pro，还是等小米pad7Pro啊 ,0,6,12,https://m.weibo.cn/detail/NB5Oex5gt,,2024-01-09 22:50:24
微博,给一次改名机会吧,小米小米pad6pro更新系统后，平板打开软件就有上面的三个点了，真的很影响我打游戏和看电视的观感啊，到底怎么取消！！找不到一点！ ,0,0,3,https://m.weibo.cn/detail/NADFZBz3n,,2024-01-06 23:13:12
微博,风向哪啊,啊嘞，小米13和pad6Pro一起推送了澎湃 ,0,0,2,https://m.weibo.cn/detail/NzSbLgjwo,,2024-01-01 22:19:37
微博,硬糖大熊,总结一下2023年三分钟热度买的一些乱七八糟 switch oled 富士xt10 小米pad6pro和小米13 sony wh-ch720n 美利达rim100公路自行车 美利达挑战者100平把公路 anyway小鱼板 北通阿修罗手柄 铃木gsx250摩托车 对今年的三分钟热度很满意 明年继续努力 ,0,5,14,https://m.weibo.cn/detail/NzHcfrwxI,,2023-12-31 18:20:36
微博,小北门喝西瓜,@雷军 @小米公司 不是小米现在的品控就已经到了一个月就坏的地步吗？？买了个pad6pro，分辨率、屏幕比例不行就算了，还卡，现在连快充就坏了？？ 售后还跟答辩一样，先说申请一个新的充电器，然后开始装死，不是系统故障就是没货，也不回应其他处理方式和处理时效，天天玩情怀呢？？啊？？#小米公司# ...全文,0,3,0,https://m.weibo.cn/detail/NyIUjv2vU,,2023-12-25 08:51:37
微博,抱着枕头睡觉呀,在三个月的等待后Pad6PRO用户迎来了 没有高级材质 没有PC端WPS 没有景深锁屏 没有九宫格文件夹 没有桌面流畅度优化 没有打断动画 没有小爱大模型 更改为了极其不好用的小白条逻辑 整体完成度远不如手机的（虽然手机完成度也一般） HyperOS1.0.2！（甚至版号和半个月前MAX的一样）  你慢发就算了，你答 ...全文,0,1,6,https://m.weibo.cn/detail/Ny2h7mTtb,,2023-12-20 20:19:41
微博,李佩-LP,hyper OS是不是放弃了小米pad6Pro了？  #正式版内测# (来自@小米社区) ,0,0,10,https://m.weibo.cn/detail/NwZEZ6sQq,,2023-12-13 23:49:56
微博,废话81226,求问K70pro双十二会降价吗？面对真我GT5Pro的质价比打压我真的不知道如何抉择，我是该考虑小米pad6Pro一个系统跟生态吗，还是选择真我。 如果我选择一个生态但同样的价格却买了个配制被压制的话我只能说如梗在喉。#k70pro双十二降价吗？# ,0,5,5,https://m.weibo.cn/detail/NwAPZkAyK,,2023-12-11 08:38:22
微博,飞驰而过的刮毛刀,你审阅者希望能把这篇文章给看完并反映给你高层。这并不是说你下架就能解决的事。OS能做就做，要做就做好，搞什么OS尝鲜计划，彻头彻尾的饥饿营销，还搞什么沟通大会，不纯属找骂嘛不是。且不说咱小米手机短命，就拿我pad6Pro来讲，你说你这么大一个团队，刚没发布多久的一个板子对吧，什么os也没有推 ...全文,0,2,1,https://m.weibo.cn/detail/NvVTYqhjf,,2023-12-07 00:25:34
微博,段昀湮,iPad小米pad6pro要不要退了换ipad10 刚买了小米pad6pro，但是纠结要不要退了换 ipad10，小米起来感觉有的软件不适配，横屏显示不全。画面有点糊。平时会看看电影和工作规章，玩玩星铁。 ,0,1,2,https://m.weibo.cn/detail/NvCLfkzz5,,2023-12-04 23:41:53
微博,欸嘿a,高能英雄小米pad6pro阴影咋是这样的而且有90帧选项开不了 ,0,1,0,https://m.weibo.cn/detail/Nv9kHcIjU,,2023-12-01 20:46:48
