用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,aweme_id,认证,sentiment_result,crawl_time
大山老师,2720,2024-09-28 21:01:31,山东大学排名#认真学习的孩子 #大学排名榜,0分:0秒,162,175,9,0,65,7419678338840661274,,正面,2024-10-01 12:01:56
那些无名之辈,650742,2024-09-30 19:10:11,赶上风口的985毕业生，薪资究竟能有多高？ #山东大学 #计算机 #软件工程 #那些无名之辈 #职场,2分:40秒,1744,154,66,8,244,7420391804169735465,,负面,2024-10-01 12:01:56
淡若清风🌾,2922,2024-09-30 22:05:14,一张图带你看明白山东高校！,0分:0秒,34,6,6,0,17,7420436924797570356,,正面,2024-10-01 12:01:56
哥在道上跑,492,2024-10-01 00:17:01,儿啊！第一个月四千就没了#山东大学,0分:0秒,31,0,15,0,0,7420470774206631218,,正面,2024-10-01 12:01:56
文昌领动,410,2024-09-30 14:18:51,领动体育纪念衫惊现山东大学大一新生宿舍,0分:0秒,1,0,0,0,0,7420316722554555675,,正面,2024-10-01 12:01:56
说说自考成考那点事,5,2024-09-30 14:47:12,山东大学自考行政管理专本科，真的香！宝子们，今天必须给大家分享一下山东大学的自考行政管理专本科！😍 ✨选了才知道，山东大学是真的好考！985/211 院校，行政管理专业开设专本科，……版本过低，升级后可展示全部信息,0分:0秒,0,0,0,0,0,7420324039203245352,,正面,2024-10-01 12:01:56
小语登科-日语203,73,2024-09-30 20:00:00,考研院校推荐|山东大学。#考研院校 #日语203,0分:0秒,2,0,1,0,0,7420358550075100416,,正面,2024-10-01 12:01:56
雨落_,83,2024-10-01 10:47:58,亚洲第二大餐厅齐园。亚洲第二大餐厅山东大学中心校区齐园负一楼一览 #齐园餐厅 #亚洲第二大食堂#大学食堂 #校园美食,0分:0秒,5,0,1,0,1,7420633483250240794,,正面,2024-10-01 12:01:56
kkkitty,19,2024-09-30 16:40:58,见过无数夜晚的星星✨ 把它们抓下来铺在了路上 希望我们都不后悔最初的选择#山东大学#保研上岸,0分:0秒,62,3,2,0,3,7420353291877420327,,中性,2024-10-01 12:01:56
山东高中帮,48193,2024-09-30 21:32:37,🎓山东大学发布撤销7个本科专业。📉增设2个本科专业，5个工学专业，有2个人文社科专业。  💔其中近两年讨论热度非常高，但报考热度逐年下降的土木工程，随着房地产市场的调控和基建行业的……版本过低，升级后可展示全部信息,0分:0秒,113,6,12,0,124,7420428527280917800,,正面,2024-10-01 12:01:56
崔,119,2024-10-01 10:03:41,恭喜儿子成功保研的山东大学，党已入，奖学金已得，保研成功上岸，从211跳到985，一路走来不容易，你已经成功做到了，爸爸妈妈以你为傲。愿你未来可期，研学之路，前程似锦。,0分:0秒,15,1,3,0,0,7420622039804906787,,正面,2024-10-01 12:01:56
ˇ迟遇星海ˇ～,241,2024-09-28 16:35:23,当我来到山东著名985高校面前，心想当初如果可以更努力一点也许就可以不站在门前观望了#985大学 #山东大学 #中国海洋大学,0分:0秒,382,14,103,0,61,7419609711516912923,,正面,2024-10-01 12:01:56
永攀高峰,379,2024-09-29 10:25:35,恭喜儿子成功保研到山东大学，圆梦985。学习很苦，坚持很酷，三年的努力付出，换来了累累硕果，终于在大四成功保研到山东大学。愿你未来可期，研学之路，前程似锦。,0分:0秒,584,25,141,0,29,7419885511700942095,,正面,2024-10-01 12:01:56
学历提升咨询-济南学升教育,28694,2024-09-30 14:34:50,自考山东大学，学位申请开始啦！🔥🔥 山东大学，学位申请开始啦！ 需要申请学位的同学，记住申请时间哈#自考 #专升本 #升学规划 #山东教育 #小自考和大自考区别,0分:0秒,8,3,1,0,0,7420320829541567785,济南学升教育科技有限公司,负面,2024-10-01 12:01:56
小泥巴来了,12109,2024-09-30 09:19:19,冥冥之中，我感知到山大在召唤……人生是一次旅行，不设限，不遗憾……#继续教育 #山东大学 #山东高校 #记录校园生活 #校园生活,0分:0秒,28,2,5,0,1,7420239517841509686,,正面,2024-10-01 12:01:56
大山老师,2720,2024-09-28 21:01:31,山东大学排名#认真学习的孩子 #大学排名榜,0分:0秒,162,175,9,0,65,7419678338840661274,,正面,2024-10-01 12:01:56
那些无名之辈,650742,2024-09-30 19:10:11,赶上风口的985毕业生，薪资究竟能有多高？ #山东大学 #计算机 #软件工程 #那些无名之辈 #职场,2分:40秒,1744,154,66,8,244,7420391804169735465,,负面,2024-10-01 12:01:56
淡若清风🌾,2922,2024-09-30 22:05:14,一张图带你看明白山东高校！,0分:0秒,34,6,6,0,17,7420436924797570356,,正面,2024-10-01 12:01:56
哥在道上跑,492,2024-10-01 00:17:01,儿啊！第一个月四千就没了#山东大学,0分:0秒,31,0,15,0,0,7420470774206631218,,正面,2024-10-01 12:01:56
文昌领动,410,2024-09-30 14:18:51,领动体育纪念衫惊现山东大学大一新生宿舍,0分:0秒,1,0,0,0,0,7420316722554555675,,正面,2024-10-01 12:01:56
说说自考成考那点事,5,2024-09-30 14:47:12,山东大学自考行政管理专本科，真的香！宝子们，今天必须给大家分享一下山东大学的自考行政管理专本科！😍 ✨选了才知道，山东大学是真的好考！985/211 院校，行政管理专业开设专本科，……版本过低，升级后可展示全部信息,0分:0秒,0,0,0,0,0,7420324039203245352,,正面,2024-10-01 12:01:56
小语登科-日语203,73,2024-09-30 20:00:00,考研院校推荐|山东大学。#考研院校 #日语203,0分:0秒,2,0,1,0,0,7420358550075100416,,正面,2024-10-01 12:01:56
雨落_,83,2024-10-01 10:47:58,亚洲第二大餐厅齐园。亚洲第二大餐厅山东大学中心校区齐园负一楼一览 #齐园餐厅 #亚洲第二大食堂#大学食堂 #校园美食,0分:0秒,5,0,1,0,1,7420633483250240794,,正面,2024-10-01 12:01:56
kkkitty,19,2024-09-30 16:40:58,见过无数夜晚的星星✨ 把它们抓下来铺在了路上 希望我们都不后悔最初的选择#山东大学#保研上岸,0分:0秒,62,3,2,0,3,7420353291877420327,,中性,2024-10-01 12:01:56
山东高中帮,48193,2024-09-30 21:32:37,🎓山东大学发布撤销7个本科专业。📉增设2个本科专业，5个工学专业，有2个人文社科专业。  💔其中近两年讨论热度非常高，但报考热度逐年下降的土木工程，随着房地产市场的调控和基建行业的……版本过低，升级后可展示全部信息,0分:0秒,113,6,12,0,124,7420428527280917800,,正面,2024-10-01 12:01:56
崔,119,2024-10-01 10:03:41,恭喜儿子成功保研的山东大学，党已入，奖学金已得，保研成功上岸，从211跳到985，一路走来不容易，你已经成功做到了，爸爸妈妈以你为傲。愿你未来可期，研学之路，前程似锦。,0分:0秒,15,1,3,0,0,7420622039804906787,,正面,2024-10-01 12:01:56
ˇ迟遇星海ˇ～,241,2024-09-28 16:35:23,当我来到山东著名985高校面前，心想当初如果可以更努力一点也许就可以不站在门前观望了#985大学 #山东大学 #中国海洋大学,0分:0秒,382,14,103,0,61,7419609711516912923,,正面,2024-10-01 12:01:56
永攀高峰,379,2024-09-29 10:25:35,恭喜儿子成功保研到山东大学，圆梦985。学习很苦，坚持很酷，三年的努力付出，换来了累累硕果，终于在大四成功保研到山东大学。愿你未来可期，研学之路，前程似锦。,0分:0秒,584,25,141,0,29,7419885511700942095,,正面,2024-10-01 12:01:56
学历提升咨询-济南学升教育,28694,2024-09-30 14:34:50,自考山东大学，学位申请开始啦！🔥🔥 山东大学，学位申请开始啦！ 需要申请学位的同学，记住申请时间哈#自考 #专升本 #升学规划 #山东教育 #小自考和大自考区别,0分:0秒,8,3,1,0,0,7420320829541567785,济南学升教育科技有限公司,负面,2024-10-01 12:01:56
小泥巴来了,12109,2024-09-30 09:19:19,冥冥之中，我感知到山大在召唤……人生是一次旅行，不设限，不遗憾……#继续教育 #山东大学 #山东高校 #记录校园生活 #校园生活,0分:0秒,28,2,5,0,1,7420239517841509686,,正面,2024-10-01 12:01:56
大山老师,2720,2024-09-28 21:01:31,山东大学排名#认真学习的孩子 #大学排名榜,0分:0秒,162,175,9,0,65,7419678338840661274,,正面,2024-10-01 12:01:56
那些无名之辈,650742,2024-09-30 19:10:11,赶上风口的985毕业生，薪资究竟能有多高？ #山东大学 #计算机 #软件工程 #那些无名之辈 #职场,2分:40秒,1744,154,66,8,244,7420391804169735465,,负面,2024-10-01 12:01:56
淡若清风🌾,2922,2024-09-30 22:05:14,一张图带你看明白山东高校！,0分:0秒,34,6,6,0,17,7420436924797570356,,正面,2024-10-01 12:01:56
哥在道上跑,492,2024-10-01 00:17:01,儿啊！第一个月四千就没了#山东大学,0分:0秒,31,0,15,0,0,7420470774206631218,,正面,2024-10-01 12:01:56
文昌领动,410,2024-09-30 14:18:51,领动体育纪念衫惊现山东大学大一新生宿舍,0分:0秒,1,0,0,0,0,7420316722554555675,,正面,2024-10-01 12:01:56
说说自考成考那点事,5,2024-09-30 14:47:12,山东大学自考行政管理专本科，真的香！宝子们，今天必须给大家分享一下山东大学的自考行政管理专本科！😍 ✨选了才知道，山东大学是真的好考！985/211 院校，行政管理专业开设专本科，……版本过低，升级后可展示全部信息,0分:0秒,0,0,0,0,0,7420324039203245352,,正面,2024-10-01 12:01:56
小语登科-日语203,73,2024-09-30 20:00:00,考研院校推荐|山东大学。#考研院校 #日语203,0分:0秒,2,0,1,0,0,7420358550075100416,,正面,2024-10-01 12:01:56
雨落_,83,2024-10-01 10:47:58,亚洲第二大餐厅齐园。亚洲第二大餐厅山东大学中心校区齐园负一楼一览 #齐园餐厅 #亚洲第二大食堂#大学食堂 #校园美食,0分:0秒,5,0,1,0,1,7420633483250240794,,正面,2024-10-01 12:01:56
kkkitty,19,2024-09-30 16:40:58,见过无数夜晚的星星✨ 把它们抓下来铺在了路上 希望我们都不后悔最初的选择#山东大学#保研上岸,0分:0秒,62,3,2,0,3,7420353291877420327,,中性,2024-10-01 12:01:56
山东高中帮,48193,2024-09-30 21:32:37,🎓山东大学发布撤销7个本科专业。📉增设2个本科专业，5个工学专业，有2个人文社科专业。  💔其中近两年讨论热度非常高，但报考热度逐年下降的土木工程，随着房地产市场的调控和基建行业的……版本过低，升级后可展示全部信息,0分:0秒,113,6,12,0,124,7420428527280917800,,正面,2024-10-01 12:01:56
崔,119,2024-10-01 10:03:41,恭喜儿子成功保研的山东大学，党已入，奖学金已得，保研成功上岸，从211跳到985，一路走来不容易，你已经成功做到了，爸爸妈妈以你为傲。愿你未来可期，研学之路，前程似锦。,0分:0秒,15,1,3,0,0,7420622039804906787,,正面,2024-10-01 12:01:56
ˇ迟遇星海ˇ～,241,2024-09-28 16:35:23,当我来到山东著名985高校面前，心想当初如果可以更努力一点也许就可以不站在门前观望了#985大学 #山东大学 #中国海洋大学,0分:0秒,382,14,103,0,61,7419609711516912923,,正面,2024-10-01 12:01:56
永攀高峰,379,2024-09-29 10:25:35,恭喜儿子成功保研到山东大学，圆梦985。学习很苦，坚持很酷，三年的努力付出，换来了累累硕果，终于在大四成功保研到山东大学。愿你未来可期，研学之路，前程似锦。,0分:0秒,584,25,141,0,29,7419885511700942095,,正面,2024-10-01 12:01:56
学历提升咨询-济南学升教育,28694,2024-09-30 14:34:50,自考山东大学，学位申请开始啦！🔥🔥 山东大学，学位申请开始啦！ 需要申请学位的同学，记住申请时间哈#自考 #专升本 #升学规划 #山东教育 #小自考和大自考区别,0分:0秒,8,3,1,0,0,7420320829541567785,济南学升教育科技有限公司,负面,2024-10-01 12:01:56
小泥巴来了,12109,2024-09-30 09:19:19,冥冥之中，我感知到山大在召唤……人生是一次旅行，不设限，不遗憾……#继续教育 #山东大学 #山东高校 #记录校园生活 #校园生活,0分:0秒,28,2,5,0,1,7420239517841509686,,正面,2024-10-01 12:01:56
大山老师,2720,2024-09-28 21:01:31,山东大学排名#认真学习的孩子 #大学排名榜,0分:0秒,162,175,9,0,65,7419678338840661274,,正面,2024-10-01 12:01:56
那些无名之辈,650742,2024-09-30 19:10:11,赶上风口的985毕业生，薪资究竟能有多高？ #山东大学 #计算机 #软件工程 #那些无名之辈 #职场,2分:40秒,1744,154,66,8,244,7420391804169735465,,负面,2024-10-01 12:01:56
淡若清风🌾,2922,2024-09-30 22:05:14,一张图带你看明白山东高校！,0分:0秒,34,6,6,0,17,7420436924797570356,,正面,2024-10-01 12:01:56
哥在道上跑,492,2024-10-01 00:17:01,儿啊！第一个月四千就没了#山东大学,0分:0秒,31,0,15,0,0,7420470774206631218,,正面,2024-10-01 12:01:56
文昌领动,410,2024-09-30 14:18:51,领动体育纪念衫惊现山东大学大一新生宿舍,0分:0秒,1,0,0,0,0,7420316722554555675,,正面,2024-10-01 12:01:56
说说自考成考那点事,5,2024-09-30 14:47:12,山东大学自考行政管理专本科，真的香！宝子们，今天必须给大家分享一下山东大学的自考行政管理专本科！😍 ✨选了才知道，山东大学是真的好考！985/211 院校，行政管理专业开设专本科，……版本过低，升级后可展示全部信息,0分:0秒,0,0,0,0,0,7420324039203245352,,正面,2024-10-01 12:01:56
小语登科-日语203,73,2024-09-30 20:00:00,考研院校推荐|山东大学。#考研院校 #日语203,0分:0秒,2,0,1,0,0,7420358550075100416,,正面,2024-10-01 12:01:56
雨落_,83,2024-10-01 10:47:58,亚洲第二大餐厅齐园。亚洲第二大餐厅山东大学中心校区齐园负一楼一览 #齐园餐厅 #亚洲第二大食堂#大学食堂 #校园美食,0分:0秒,5,0,1,0,1,7420633483250240794,,正面,2024-10-01 12:01:56
kkkitty,19,2024-09-30 16:40:58,见过无数夜晚的星星✨ 把它们抓下来铺在了路上 希望我们都不后悔最初的选择#山东大学#保研上岸,0分:0秒,62,3,2,0,3,7420353291877420327,,中性,2024-10-01 12:01:56
山东高中帮,48193,2024-09-30 21:32:37,🎓山东大学发布撤销7个本科专业。📉增设2个本科专业，5个工学专业，有2个人文社科专业。  💔其中近两年讨论热度非常高，但报考热度逐年下降的土木工程，随着房地产市场的调控和基建行业的……版本过低，升级后可展示全部信息,0分:0秒,113,6,12,0,124,7420428527280917800,,正面,2024-10-01 12:01:56
崔,119,2024-10-01 10:03:41,恭喜儿子成功保研的山东大学，党已入，奖学金已得，保研成功上岸，从211跳到985，一路走来不容易，你已经成功做到了，爸爸妈妈以你为傲。愿你未来可期，研学之路，前程似锦。,0分:0秒,15,1,3,0,0,7420622039804906787,,正面,2024-10-01 12:01:56
ˇ迟遇星海ˇ～,241,2024-09-28 16:35:23,当我来到山东著名985高校面前，心想当初如果可以更努力一点也许就可以不站在门前观望了#985大学 #山东大学 #中国海洋大学,0分:0秒,382,14,103,0,61,7419609711516912923,,正面,2024-10-01 12:01:56
永攀高峰,379,2024-09-29 10:25:35,恭喜儿子成功保研到山东大学，圆梦985。学习很苦，坚持很酷，三年的努力付出，换来了累累硕果，终于在大四成功保研到山东大学。愿你未来可期，研学之路，前程似锦。,0分:0秒,584,25,141,0,29,7419885511700942095,,正面,2024-10-01 12:01:56
学历提升咨询-济南学升教育,28694,2024-09-30 14:34:50,自考山东大学，学位申请开始啦！🔥🔥 山东大学，学位申请开始啦！ 需要申请学位的同学，记住申请时间哈#自考 #专升本 #升学规划 #山东教育 #小自考和大自考区别,0分:0秒,8,3,1,0,0,7420320829541567785,济南学升教育科技有限公司,负面,2024-10-01 12:01:56
小泥巴来了,12109,2024-09-30 09:19:19,冥冥之中，我感知到山大在召唤……人生是一次旅行，不设限，不遗憾……#继续教育 #山东大学 #山东高校 #记录校园生活 #校园生活,0分:0秒,28,2,5,0,1,7420239517841509686,,正面,2024-10-01 12:01:56
大山老师,2720,2024-09-28 21:01:31,山东大学排名#认真学习的孩子 #大学排名榜,0分:0秒,162,175,9,0,65,7419678338840661274,,正面,2024-10-01 12:01:56
那些无名之辈,650742,2024-09-30 19:10:11,赶上风口的985毕业生，薪资究竟能有多高？ #山东大学 #计算机 #软件工程 #那些无名之辈 #职场,2分:40秒,1744,154,66,8,244,7420391804169735465,,负面,2024-10-01 12:01:56
淡若清风🌾,2922,2024-09-30 22:05:14,一张图带你看明白山东高校！,0分:0秒,34,6,6,0,17,7420436924797570356,,正面,2024-10-01 12:01:56
哥在道上跑,492,2024-10-01 00:17:01,儿啊！第一个月四千就没了#山东大学,0分:0秒,31,0,15,0,0,7420470774206631218,,正面,2024-10-01 12:01:56
文昌领动,410,2024-09-30 14:18:51,领动体育纪念衫惊现山东大学大一新生宿舍,0分:0秒,1,0,0,0,0,7420316722554555675,,正面,2024-10-01 12:01:56
说说自考成考那点事,5,2024-09-30 14:47:12,山东大学自考行政管理专本科，真的香！宝子们，今天必须给大家分享一下山东大学的自考行政管理专本科！😍 ✨选了才知道，山东大学是真的好考！985/211 院校，行政管理专业开设专本科，……版本过低，升级后可展示全部信息,0分:0秒,0,0,0,0,0,7420324039203245352,,正面,2024-10-01 12:01:56
小语登科-日语203,73,2024-09-30 20:00:00,考研院校推荐|山东大学。#考研院校 #日语203,0分:0秒,2,0,1,0,0,7420358550075100416,,正面,2024-10-01 12:01:56
雨落_,83,2024-10-01 10:47:58,亚洲第二大餐厅齐园。亚洲第二大餐厅山东大学中心校区齐园负一楼一览 #齐园餐厅 #亚洲第二大食堂#大学食堂 #校园美食,0分:0秒,5,0,1,0,1,7420633483250240794,,正面,2024-10-01 12:01:56
kkkitty,19,2024-09-30 16:40:58,见过无数夜晚的星星✨ 把它们抓下来铺在了路上 希望我们都不后悔最初的选择#山东大学#保研上岸,0分:0秒,62,3,2,0,3,7420353291877420327,,中性,2024-10-01 12:01:56
山东高中帮,48193,2024-09-30 21:32:37,🎓山东大学发布撤销7个本科专业。📉增设2个本科专业，5个工学专业，有2个人文社科专业。  💔其中近两年讨论热度非常高，但报考热度逐年下降的土木工程，随着房地产市场的调控和基建行业的……版本过低，升级后可展示全部信息,0分:0秒,113,6,12,0,124,7420428527280917800,,正面,2024-10-01 12:01:56
崔,119,2024-10-01 10:03:41,恭喜儿子成功保研的山东大学，党已入，奖学金已得，保研成功上岸，从211跳到985，一路走来不容易，你已经成功做到了，爸爸妈妈以你为傲。愿你未来可期，研学之路，前程似锦。,0分:0秒,15,1,3,0,0,7420622039804906787,,正面,2024-10-01 12:01:56
ˇ迟遇星海ˇ～,241,2024-09-28 16:35:23,当我来到山东著名985高校面前，心想当初如果可以更努力一点也许就可以不站在门前观望了#985大学 #山东大学 #中国海洋大学,0分:0秒,382,14,103,0,61,7419609711516912923,,正面,2024-10-01 12:01:56
永攀高峰,379,2024-09-29 10:25:35,恭喜儿子成功保研到山东大学，圆梦985。学习很苦，坚持很酷，三年的努力付出，换来了累累硕果，终于在大四成功保研到山东大学。愿你未来可期，研学之路，前程似锦。,0分:0秒,584,25,141,0,29,7419885511700942095,,正面,2024-10-01 12:01:56
学历提升咨询-济南学升教育,28694,2024-09-30 14:34:50,自考山东大学，学位申请开始啦！🔥🔥 山东大学，学位申请开始啦！ 需要申请学位的同学，记住申请时间哈#自考 #专升本 #升学规划 #山东教育 #小自考和大自考区别,0分:0秒,8,3,1,0,0,7420320829541567785,济南学升教育科技有限公司,负面,2024-10-01 12:01:56
小泥巴来了,12109,2024-09-30 09:19:19,冥冥之中，我感知到山大在召唤……人生是一次旅行，不设限，不遗憾……#继续教育 #山东大学 #山东高校 #记录校园生活 #校园生活,0分:0秒,28,2,5,0,1,7420239517841509686,,正面,2024-10-01 12:01:56
